exercise_id,exercise_name,movement_pattern,aether_pattern,aether_node,contraindicated_populations,load_standard_band,load_band_primary,load_band_range,plyo_contacts,e_node,intensity_vmax,fv_zones,is_plyometric,is_sprint
EX_00001,1 Leg Balance (Eyes Closed),Balance,Balance-Proprioception,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00002,1 Leg Balance - OTIS (Tubing),Balance,Balance-Proprioception,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00003,1 Leg Balance - Triple Flexion Isometric Hold KB (Contra),Balance,Balance-Proprioception,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00004,1 Leg Balance - Triple Flexion Isometric Hold KB (Ipsi),Balance,Balance-Proprioception,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00005,1 Leg Balancing,Balance,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00006,1 Leg Balancing - Contralateral Alphabet,Balance,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00007,1 Leg Balancing - Contralateral Alphabet on Pad,Balance,Other,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00008,1 Leg Internal/External Rotation - Seated,Joint_Mobility,Joint-Rotation,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00009,1/2 Turkish Get Up - Kettlebell,Get-Up,Complex-Movement,D,,,Band_4,4-4,,E0,,"Zone_1,Zone_6",False,False
EX_00010,1st Metatarsal Press - Heel Raise,Press,Push-Horizontal,C,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00011,1st Metatarsal Press - Standing,Press,Push-Horizontal,C,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00012,1st Toe Abduction - Standing - Active,Other,Foot-Ankle-Work,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00013,1st Toe Extension - Active,Other,Foot-Ankle-Work,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00014,1st Toe Extension - Mobilization (Ball),Joint_Mobility,Joint-Mobility,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00015,1st Toe Extension - Standing - Active,Other,Foot-Ankle-Work,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00016,1st Toe Extension - Standing - Mobilization,Joint_Mobility,Joint-Mobility,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00017,2 Inch Lift Half Kneeling,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00018,2 Inch Run - In Place,Run,Locomotion-Linear,A,,,Band_1,0-2,,E0,75.0,Zone_5,False,True
EX_00019,2 Inch Run to Crossover and Sprint,Run,Locomotion-Linear,A,,,Band_1,0-2,,E0,75.0,Zone_5,False,True
EX_00020,2 Inch Runs - In and Out,Run,Locomotion-Linear,A,,,Band_1,0-2,,E0,75.0,Zone_5,False,True
EX_00021,2 Inch Runs - Moving Backwards,Run,Locomotion-Linear,A,,,Band_1,0-2,,E0,75.0,Zone_5,False,True
EX_00022,2 Inch Runs - Moving Forward,Run,Locomotion-Linear,A,,,Band_1,0-2,,E0,75.0,Zone_5,False,True
EX_00023,2 Inch Runs to Sprint,Run,Locomotion-Linear,A,,,Band_1,0-2,,E0,75.0,Zone_5,False,True
EX_00024,20 In/20 Out/20 In,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00025,3 Hurdle Drill - Continuous,Deadlift,Hinge-Bilateral,B,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00026,3 Hurdle Drill - Quick/Stabilize,Deadlift,Hinge-Bilateral,B,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00027,3 Hurdle Drill - Stabilize,Deadlift,Hinge-Bilateral,B,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00028,3 Hurdle Drill to 8yd Acceleration,Deadlift,Hinge-Bilateral,B,,,Band_1,0-2,,E0,95.0,Zone_4,False,True
EX_00029,3 Hurdle Drill to 8yd Drop Step Acceleration,Deadlift,Hinge-Bilateral,B,,,Band_1,0-2,1.0,E3,95.0,"Zone_3,Zone_4",True,True
EX_00030,3 Hurdle Drill to Crossover to 10yd Acceleration,Deadlift,Hinge-Bilateral,B,,,Band_1,0-2,,E0,95.0,Zone_4,False,True
EX_00031,3 Way Lunge - Med Ball,Lunge,Lunge-Unilateral,C,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00032,3 Way Weight Shift - Half Kneeling - KB,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00033,45 Degree Bound - Quick/Stabilize,Bound,Plyometric-Landing,D,R2P1,,Band_3,2-4,1.0,E2,,Zone_3,True,False
EX_00034,45 Degree Bound - Stabilize,Bound,Plyometric-Landing,D,R2P1,,Band_3,2-4,1.0,E2,,Zone_3,True,False
EX_00035,6 Step Pull Up Progression,Pull,Pull-Horizontal,C,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00036,6 Yd Star Drill - Crossover to Acceleration/Deceleration,Other,Other,A,,,Band_1,0-2,,E0,95.0,Zone_4,False,True
EX_00037,6 Yd Star Drill - Shuffle to Acceleration/Deceleration,Walk,Locomotion-Movement,A,,,Band_1,0-2,,E0,95.0,Zone_4,False,True
EX_00038,90/90,Other,90/90-Positions,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00039,90/90 - Legs Crossed,Other,90/90-Positions,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00040,90/90 - Legs Crossed (Reverse),Other,90/90-Positions,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00041,90/90 - Seated w/ Legs Crossed (Rotation),Joint_Mobility,Joint-Rotation,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00042,90/90 - Seated w/ Rotation,Joint_Mobility,Joint-Rotation,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00043,90/90 - Sling Activation,Other,Muscle-Activation,A,,,Band_1,0-2,,E0,,Zone_8,False,False
EX_00044,90/90 Breathing Position,Breathing_Work,Breathing-Work,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00045,90/90 Breathing with Lateral Expansion,Breathing_Work,Breathing-Work,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00046,90/90 Hip Switch,Bridge,Hip-Movement,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00047,90/90 Stretch - with Arm Sweep,Stretch,Mobility-Static,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00048,A Skip,Skip,Locomotion-Linear,A,,,Band_1,0-2,1.0,E2,,Zone_3,True,False
EX_00049,Ab Roller (Rollout),Core,Core-Stability,B,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00050,Abductor Stretch (Rope),Stretch,Mobility-Static,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00051,Absolute Speed Wall Drill - 1 Part Cycle,Walk,Movement-Drills,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00052,Absolute Speed Wall Drill - Fast Single,Walk,Movement-Drills,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00053,Absolute Speed Wall Drill - Load & Lift,Walk,Movement-Drills,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00054,Absolute Speed Wall Drill - Posture Hold,Isometric_Hold,Isometric-Hold,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00055,Absolute Speed Wall Drill - Slow Single,Walk,Movement-Drills,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00056,Absolute Speed Wall Drill - Triples,Walk,Movement-Drills,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00057,Acceleration - Cut to Crossover to 10yd Acceleration,Other,Other,A,,,Band_1,0-2,,E0,95.0,Zone_4,False,True
EX_00058,Acceleration - Split Stance,Other,Other,A,,,Band_1,0-2,,E0,95.0,Zone_4,False,True
EX_00059,Acceleration Run - Harness Resisted (Shoulders),Run,Locomotion-Linear,A,,,Band_1,0-2,,E0,95.0,Zone_4,False,True
EX_00060,Acceleration Run - Load And Release,Run,Locomotion-Linear,A,,,Band_1,0-2,,E0,95.0,Zone_4,False,True
EX_00061,Acceleration Run - Pull (Sled),Pull,Pull-Horizontal,C,,,Band_2,1-3,,E0,95.0,"Zone_4,Zone_5",False,True
EX_00062,Acceleration Run - Sled Resisted (Waist),Run,Locomotion-Linear,A,,,Band_1,0-2,,E0,95.0,Zone_4,False,True
EX_00063,Acceleration Wall Drill - Doubles,Walk,Movement-Drills,A,,,Band_1,0-2,,E0,95.0,Zone_4,False,True
EX_00064,Acceleration Wall Drill - Load and Lift,Walk,Movement-Drills,A,,,Band_1,0-2,,E0,95.0,Zone_4,False,True
EX_00065,Acceleration Wall Drill - Marching,Walk,Movement-Drills,A,,,Band_1,0-2,,E0,95.0,Zone_4,False,True
EX_00066,Acceleration Wall Drill - Posture Hold,Isometric_Hold,Isometric-Hold,A,,,Band_1,0-2,,E0,95.0,Zone_4,False,True
EX_00067,Acceleration Wall Drill - Running,Run,Locomotion-Linear,A,,,Band_1,0-2,,E0,95.0,Zone_4,False,True
EX_00068,Acceleration Wall Drill - Singles,Walk,Movement-Drills,A,,,Band_1,0-2,,E0,95.0,Zone_4,False,True
EX_00069,Acceleration Wall Drill - Triples,Walk,Movement-Drills,A,,,Band_1,0-2,,E0,95.0,Zone_4,False,True
EX_00070,Acceleration/Deceleration 90 Runs (r/l),Run,Locomotion-Linear,A,,,Band_1,0-2,,E0,95.0,Zone_4,False,True
EX_00071,Active Leg Lowering,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00072,Active Leg Lowering to Bolster,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00073,Active Neck Range of Motion - Extension,Joint_Mobility,Cervical-Mobility,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00074,Active Neck Range of Motion - Flexion,Joint_Mobility,Cervical-Mobility,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00075,Active Neck Range of Motion - Lateral Flexion LT,Joint_Mobility,Cervical-Mobility,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00076,Active Neck Range of Motion - Lateral Flexion RT,Joint_Mobility,Cervical-Mobility,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00077,Active Neck Range of Motion - Rotation LT,Joint_Mobility,Joint-Rotation,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00078,Adductor Rocking Stretch - Quadruped,Stretch,Mobility-Static,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00079,Adductor Stretch (Rope),Stretch,Mobility-Static,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00080,Adductor Stretch - Quadruped to Cossack Squat,Squat,Squat-Bilateral,B,,,Band_1,0-2,,E0,,Zone_6,False,False
EX_00081,Adductor Stretch - Quadruped w/ Hip Internal/External Rotation,Stretch,Mobility-Static,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00082,Adductor Stretch - Quadruped w/ Leg Lift,Stretch,Mobility-Static,A,,,Band_0,0-0,,E0,,Zone_8,False,False
EX_00083,Advance Straight Leg Bridge,Bridge,Core-Stability,B,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00084,AIS - Chest,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00085,Alternate Foot Step with Jump Rope,Jump,Plyometric-Landing,D,R2P1,,Band_3,2-4,1.0,E2,,Zone_3,True,False
EX_00086,Single Leg,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00087,Alternating Bounds,Bound,Plyometric-Landing,D,R2P1,,Band_3,2-4,2.0,E2,,Zone_3,True,False
EX_00088,Alternating Dumbbell Curls,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00089,Ankle Bound,Bound,Plyometric-Landing,D,R2P1,,Band_3,2-4,1.0,E1,,Zone_3,True,False
EX_00090,Ankle Circles - Seated,Other,Foot-Ankle-Work,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00091,Ankle Eversion - Theraband,Other,Foot-Ankle-Work,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00092,Ankle PNF D1.1 (Theraband),Other,Foot-Ankle-Work,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00093,Ankle PNF D1.2 (Theraband),Other,Foot-Ankle-Work,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00094,Ankle PNF D2.1 (Theraband),Other,Foot-Ankle-Work,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00095,Ankle PNF D2.2 (Theraband),Other,Foot-Ankle-Work,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00096,Ankle Skip,Skip,Locomotion-Linear,A,,,Band_1,0-2,1.0,E1,,Zone_3,True,False
EX_00097,Anterior Tibialis Raises,Other,Other,A,,,Band_1,0-2,,E0,,Zone_5,False,False
EX_00098,Anti rotation Press - full kneeling cable,Press,Push-Horizontal,C,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
EX_00099,Anti Rotation Press - Full Kneeling Tubing,Press,Push-Horizontal,C,,,Band_2,1-3,,E0,,"Zone_5,Zone_6",False,False
